model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
12,Cadence,omit_7_31,AgeGroup,0.30832113103,0.0989290803345,0.114423696551,0.502218565509,0.00182957402536,246,0.879159100539,31.2512613876,-50.5025227752,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,omit_7_31,Speed,0.919629194089,0.0112613279947,0.897557396801,0.941700991377,0,246,0.879159100539,31.2512613876,-50.5025227752,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,omit_7_31,Speed2,-0.128948470824,0.0107852761349,-0.150087223612,-0.107809718036,6.04216602857e-33,246,0.879159100539,31.2512613876,-50.5025227752,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
13,Cadence,omit_7_31,Intercept,-0.149843311941,0.0700769311894,-0.287191573219,-0.0124950506627,0.0324949374624,246,0.861030681699,-21.1701426775,54.340285355,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
13,Cadence,omit_7_31,AgeGroup,0.305879512239,0.100340586732,0.109215576057,0.502543448421,0.00230053796099,246,0.861030681699,-21.1701426775,54.340285355,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
13,Cadence,omit_7_31,Speed,0.928929703606,0.0202797634304,0.889182097668,0.968677309545,0,246,0.861030681699,-21.1701426775,54.340285355,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
13,Cadence,omit_7_31,AgeGroup:Speed,-0.0619881125458,0.0285958071262,-0.118034864622,-0.00594136046965,0.0301789065587,246,0.861030681699,-21.1701426775,54.340285355,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,omit_7_31,Intercept,-0.023824038683,0.0703131510673,-0.161635282414,0.113987205048,0.734739581715,246,0.878529525257,33.4612344202,-52.9224688404,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,omit_7_31,AgeGroup,0.309044615429,0.0995300154683,0.113969369731,0.504119861128,0.00190253706236,246,0.878529525257,33.4612344202,-52.9224688404,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,omit_7_31,Speed,0.942761268077,0.0156608658967,0.912066534952,0.973456001201,0,246,0.878529525257,33.4612344202,-52.9224688404,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,omit_7_31,AgeGroup:Speed,-0.0464574959579,0.0220725687157,-0.089718935687,-0.0031960562289,0.0353120617438,246,0.878529525257,33.4612344202,-52.9224688404,Cadence ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
